,,,,x,y
,,,,55.6696281433105,37.4531707763672
,,,,55.6696281433105,37.4531707763672
,,,,55.6696281433105,37.4531707763672
,,,,55.7927665710449,37.614963531494105
,,,,55.8237152099609,37.5909385681152
,,,,55.786563873290994,37.7290382385254
,,,,55.824779510498,37.4364128112793
,,,,55.750980377197294,37.639732360839794
,,,,55.6300201416016,37.7968635559082
,,,,55.765266418457,37.655265808105504
,,,,55.72868347167971,37.579864501953104
,,,,55.773609161377,37.655670166015604
,,,,55.731517791748,37.641017913818395
,,,,55.731517791748,37.641017913818395
,,,,55.7943267822266,37.5881004333496
,,,,55.7943267822266,37.5881004333496
,,,,55.702423095703104,37.5317344665527
,,,,55.7767753601074,37.581459045410206
,,,,55.8976364135742,37.596099853515604
,,,,55.7187347412109,37.787166595459
,,,,55.8105354309082,37.634803771972706
,,,,55.8649406433105,37.582950592041
,,,,55.7621040344238,37.734703063964794
,,,,55.8976364135742,37.596099853515604
,,,,55.806312561035206,37.515098571777294
,,,,55.794830322265604,37.698051452636705
,,,,55.8115348815918,37.5853424072266
,,,,55.794830322265604,37.698051452636705
,,,,55.7990875244141,37.7032814025879
,,,,55.845054626464794,37.6670150756836
,,,,55.845054626464794,37.6670150756836
,,,,55.8976364135742,37.596099853515604
,,,,55.7814521789551,37.5561294555664
,,,,55.6366081237793,37.620674133300795
,,,,55.7010498046875,37.751823425293004
,,,,55.6755447387695,37.5058937072754
,,,,55.793327331543,37.6041603088379
,,,,55.6596488952637,37.749660491943395
,,,,55.6596488952637,37.749660491943395
,,,,55.739284515380895,37.5977897644043
,,,,55.8005599975586,37.5856895446777
,,,,55.8976364135742,37.596099853515604
,,,,55.8550796508789,37.478080749511705
,,,,55.788944244384794,37.6363563537598
,,,,55.8182907104492,37.4653968811035
,,,,55.976741790771506,37.160083770752
,,,,55.5842208862305,37.178615570068395
,,,,55.791896820068395,37.603542327880895
,,,,55.7820625305176,37.5444946289063
,,,,55.6940307617188,37.6225471496582
,,,,55.6115112304688,37.2969207763672
,,,,55.736057281494105,37.6356353759766
,,,,55.703586578369105,37.473331451416
,,,,55.8093414306641,37.6285057067871
,,,,55.676551818847706,37.4526977539063
,,,,55.8851165771484,37.6399993896484
,,,,55.472629547119105,37.550628662109396
,,,,55.681911468505895,37.4513664245605
,,,,55.6650619506836,37.4814872741699
,,,,55.7183227539063,37.549289703369105
,,,,55.569740295410206,37.579071044921896
,,,,55.696285247802706,37.6255340576172
,,,,55.7418022155762,37.655799865722706
,,,,55.74101257324221,37.4154052734375
,,,,55.776180267334006,37.675506591796896
,,,,55.604740142822294,37.712318420410206
,,,,55.604740142822294,37.712318420410206
,,,,55.7307548522949,37.8335609436035
,,,,55.7307624816895,37.8335838317871
,,,,55.6224365234375,37.66758346557621
,,,,55.6224365234375,37.66758346557621
,,,,55.776729583740206,37.581428527831996
,,,,55.8718185424805,37.592960357666
